luciano.csv
Butterfree,10,10,2,INSECT,FLYING,1,Compound Eyes,0,2,Caterpie,Metapod
Blastoise,36,36,1,WATER,1,Torrent,0,2,Squirtle,Wartortle
Squirtle,1,1,1,WATER,1,Torrent,2,Wartortle,Blastoise,0
Raichu,0,0,1,ELECTRIC,1,Static,0,2,Pichu,Pikachu
Bulbasaur,1,1,2,POISON,PLANT,1,Overgrow,2,Ivysaur,Venasaur,0
Charmeleon,16,16,1,FIRE,1,Blaze,1,Charizard,1,Charmander
Venasaur,32,32,2,POISON,PLANT,1,Overgrow,0,2,Bulbasaur,Ivysaur
Pichu,1,1,1,ELECTRIC,1,Static,2,Pikachu,Raichu,0
Caterpie,1,1,1,INSECT,1,Dust Shield,2,Metapod,Butterfree,0
Metapod,7,7,1,INSECT,1,Shed Skin,1,Butterfree,1,Caterpie
Wartortle,16,16,1,WATER,1,Torrent,1,Blastoise,1,Squirtle
Pikachu,0,0,1,ELECTRIC,1,Static,1,Raichu,1,Pichu
Charizard,36,36,1,FIRE,1,Blaze,0,2,Charmander,Charmeleon
Charmander,1,1,1,FIRE,1,Blaze,2,Charmeleon,Charizard,0
Ivysaur,16,16,2,POISON,PLANT,1,Overgrow,1,Venasaur,1,Bulbasaur
